image,status,problems,width,height,blur_score,brightness
harbor_seal_263.jpg,PASS,,500,281,449.05,148.84
harbor_seal_27.jpg,PASS,,375,500,2653.68,116.06
harbor_seal_280.jpg,PASS,,375,500,4414.5,148.18
harbor_seal_290.jpg,PASS,,500,375,3020.71,126.57
harbor_seal_295.jpg,PASS,,500,375,9378.43,107.17
harbor_seal_298.jpg,PASS,,500,375,5458.42,133.38
harbor_seal_299.jpg,PASS,,500,375,4143.14,154.79
harbor_seal_39.jpg,PASS,,500,375,2863.86,115.83
harbor_seal_46.jpg,PASS,,376,500,1124.86,162.82
harbor_seal_50.jpg,PASS,,500,223,485.07,167.91
harbor_seal_66.jpg,PASS,,500,375,4429.53,124.68
harbor_seal_81.jpg,PASS,,500,333,1309.42,144.01
harbor_seal_96.jpg,PASS,,500,333,1571.67,146.78
kangaroo_rat_103.jpg,PASS,,375,500,4803.86,116.57
kangaroo_rat_116.jpg,PASS,,500,346,155.2,140.89
kangaroo_rat_117.jpg,PASS,,500,375,945.46,109.48
kangaroo_rat_12.jpg,REVIEW_REQUIRED,Very dark,375,500,562.92,29.57
kangaroo_rat_13.jpg,REVIEW_REQUIRED,Very dark,375,500,3885.25,38.61
kangaroo_rat_149.jpg,PASS,,500,376,3409.28,110.93
kangaroo_rat_150.jpg,PASS,,500,500,3447.77,154.16
kangaroo_rat_168.jpg,PASS,,233,500,566.87,83.1
kangaroo_rat_17.jpg,PASS,,375,500,8855.34,153.95
kangaroo_rat_183.jpg,REVIEW_REQUIRED,Very low resolution,184,500,2729.1,114.1
kangaroo_rat_184.jpg,PASS,,334,500,382.65,101.31
kangaroo_rat_185.jpg,PASS,,458,500,1997.55,92.32
kangaroo_rat_186.jpg,PASS,,500,375,388.95,122.28
kangaroo_rat_189.jpg,PASS,,375,500,534.07,121.89
kangaroo_rat_198.jpg,PASS,,500,375,473.71,112.26
kangaroo_rat_209.jpg,REVIEW_REQUIRED,Very low resolution; Severely blurred,95,87,64.87,50.77
kangaroo_rat_223.jpg,PASS,,500,392,531.12,49.43
kangaroo_rat_225.jpg,PASS,,375,500,1192.85,171.5
kangaroo_rat_228.jpg,REVIEW_REQUIRED,Very low resolution,197,500,1626.2,119.97
